Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
200.000000	0.00116488	200.000000	0.00133815	200.000000	0.00132925	200.000000	0.00132731	200.000000	0.00133773	200.000000	4.17579e-07	
210.000000	0.00113   	210.000000	0.0012971 	210.000000	0.00128818	210.000000	0.00128627	210.000000	0.00129671	210.000000	3.9914e-07	
220.000000	0.00109813	220.000000	0.00125968	220.000000	0.00125071	220.000000	0.00124887	220.000000	0.00125929	220.000000	3.82313e-07	
230.000000	0.00106888	230.000000	0.00122541	230.000000	0.00121641	230.000000	0.00121464	230.000000	0.00122504	230.000000	3.66893e-07	
240.000000	0.00104194	240.000000	0.00119391	240.000000	0.00118501	240.000000	0.00118319	240.000000	0.00119356	240.000000	3.5271e-07	
250.000000	0.00101705	250.000000	0.00116487	250.000000	0.00115604	250.000000	0.00115421	250.000000	0.00116453	250.000000	3.39617e-07	
260.000000	0.000993986	260.000000	0.00113801	260.000000	0.00112918	260.000000	0.00112742	260.000000	0.00113769	260.000000	3.27494e-07	
270.000000	0.000972548	270.000000	0.0011131 	270.000000	0.0011043 	270.000000	0.00110259	270.000000	0.00111278	270.000000	3.16234e-07	
280.000000	0.000952571	280.000000	0.00108993	280.000000	0.00108118	280.000000	0.0010795 	280.000000	0.00108962	280.000000	3.05748e-07	
290.000000	0.000933912	290.000000	0.00106833	290.000000	0.00105972	290.000000	0.001058  	290.000000	0.00106803	290.000000	2.95958e-07	
300.000000	0.000916444	300.000000	0.00104814	300.000000	0.00103964	300.000000	0.00103791	300.000000	0.00104786	300.000000	2.86796e-07	
310.000000	0.000900059	310.000000	0.00102924	310.000000	0.00102079	310.000000	0.00101911	310.000000	0.00102896	310.000000	2.78202e-07	
320.000000	0.000884658	320.000000	0.00101151	320.000000	0.00100313	320.000000	0.00100149	320.000000	0.00101124	320.000000	2.70126e-07	
330.000000	0.000870157	330.000000	0.000994837	330.000000	0.000986532	330.000000	0.000984927	330.000000	0.000994575	330.000000	2.6252e-07	
340.000000	0.00085648	340.000000	0.000979141	340.000000	0.000970934	340.000000	0.000969345	340.000000	0.000978885	340.000000	2.55346e-07	
350.000000	0.00084356	350.000000	0.000964337	350.000000	0.000956287	350.000000	0.000954658	350.000000	0.000964088	350.000000	2.48565e-07	
360.000000	0.000831336	360.000000	0.000950353	360.000000	0.000942437	360.000000	0.000940796	360.000000	0.000950111	360.000000	2.42148e-07	
370.000000	0.000819755	370.000000	0.000937126	370.000000	0.000929213	370.000000	0.000927605	370.000000	0.00093689	370.000000	2.36064e-07	
380.000000	0.000808769	380.000000	0.000924596	380.000000	0.000916696	380.000000	0.000915117	380.000000	0.000924365	380.000000	2.30288e-07	
