Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
740.000000	0.000153001	740.000000	0.000175959	740.000000	0.000174257	740.000000	0.000174079	740.000000	0.000175927	740.000000	3.1947e-08	
760.000000	0.000151701	760.000000	0.000174525	760.000000	0.000172837	760.000000	0.000172659	760.000000	0.000174494	760.000000	3.11608e-08	
780.000000	0.000150478	780.000000	0.000173177	780.000000	0.000171497	780.000000	0.000171323	780.000000	0.000173146	780.000000	3.04136e-08	
800.000000	0.000149326	800.000000	0.000171908	800.000000	0.000170234	800.000000	0.000170063	800.000000	0.000171878	800.000000	2.97025e-08	
820.000000	0.00014824	820.000000	0.000170712	820.000000	0.000169045	820.000000	0.000168874	820.000000	0.000170683	820.000000	2.90249e-08	
840.000000	0.000147217	840.000000	0.000169585	840.000000	0.000167921	840.000000	0.000167752	840.000000	0.000169557	840.000000	2.83785e-08	
860.000000	0.000146251	860.000000	0.000168522	860.000000	0.000166859	860.000000	0.000166691	860.000000	0.000168494	860.000000	2.77611e-08	
880.000000	0.00014534	880.000000	0.000167519	880.000000	0.000165854	880.000000	0.000165688	880.000000	0.000167491	880.000000	2.71708e-08	
900.000000	0.000144479	900.000000	0.000166571	900.000000	0.000164902	900.000000	0.000164737	900.000000	0.000166544	900.000000	2.66058e-08	
920.000000	0.000143666	920.000000	0.000165675	920.000000	0.000164  	920.000000	0.000163837	920.000000	0.000165649	920.000000	2.60646e-08	
940.000000	0.000142898	940.000000	0.000164828	940.000000	0.000163145	940.000000	0.000162983	940.000000	0.000164803	940.000000	2.55456e-08	
960.000000	0.000142172	960.000000	0.000164028	960.000000	0.000162334	960.000000	0.000162172	960.000000	0.000164003	960.000000	2.50475e-08	
980.000000	0.000141486	980.000000	0.00016327	980.000000	0.000161563	980.000000	0.000161402	980.000000	0.000163246	980.000000	2.45691e-08	
1000.000000	0.000140837	1000.000000	0.000162553	1000.000000	0.00016083	1000.000000	0.000160671	1000.000000	0.000162529	1000.000000	2.41091e-08	
1020.000000	0.000140224	1020.000000	0.000161874	1020.000000	0.000160134	1020.000000	0.000159975	1020.000000	0.000161851	1020.000000	2.36666e-08	
1040.000000	0.000139644	1040.000000	0.000161232	1040.000000	0.000159471	1040.000000	0.000159314	1040.000000	0.000161209	1040.000000	2.32405e-08	
1060.000000	0.000139095	1060.000000	0.000160624	1060.000000	0.00015884	1060.000000	0.000158684	1060.000000	0.000160601	1060.000000	2.283e-08 	
1080.000000	0.000138577	1080.000000	0.000160047	1080.000000	0.000158239	1080.000000	0.000158084	1080.000000	0.000160025	1080.000000	2.24341e-08	
1100.000000	0.000138088	1100.000000	0.000159502	1100.000000	0.000157667	1100.000000	0.000157512	1100.000000	0.00015948	1100.000000	2.20522e-08	
1120.000000	0.000137625	1120.000000	0.000158985	1120.000000	0.000157121	1120.000000	0.000156967	1120.000000	0.000158963	1120.000000	2.16834e-08	
1140.000000	0.000137188	1140.000000	0.000158496	1140.000000	0.000156601	1140.000000	0.000156447	1140.000000	0.000158475	1140.000000	2.13272e-08	
1160.000000	0.000136776	1160.000000	0.000158033	1160.000000	0.000156104	1160.000000	0.000155952	1160.000000	0.000158012	1160.000000	2.09828e-08	
1180.000000	0.000136387	1180.000000	0.000157595	1180.000000	0.00015563	1180.000000	0.000155478	1180.000000	0.000157574	1180.000000	2.06497e-08	
1200.000000	0.00013602	1200.000000	0.00015718	1200.000000	0.000155178	1200.000000	0.000155026	1200.000000	0.000157159	1200.000000	2.03273e-08	
1220.000000	0.000135675	1220.000000	0.000156787	1220.000000	0.000154745	1220.000000	0.000154595	1220.000000	0.000156767	1220.000000	2.00151e-08	
1240.000000	0.00013535	1240.000000	0.000156416	1240.000000	0.000154331	1240.000000	0.000154182	1240.000000	0.000156396	1240.000000	1.97127e-08	
1260.000000	0.000135044	1260.000000	0.000156065	1260.000000	0.000153936	1260.000000	0.000153788	1260.000000	0.000156046	1260.000000	1.94196e-08	
1280.000000	0.000134757	1280.000000	0.000155734	1280.000000	0.000153558	1280.000000	0.000153411	1280.000000	0.000155715	1280.000000	1.91353e-08	
1300.000000	0.000134487	1300.000000	0.000155421	1300.000000	0.000153198	1300.000000	0.000153051	1300.000000	0.000155403	1300.000000	1.88594e-08	
1320.000000	0.000134234	1320.000000	0.000155126	1320.000000	0.000152854	1320.000000	0.000152706	1320.000000	0.000155108	1320.000000	1.85917e-08	
1340.000000	0.000133998	1340.000000	0.000154848	1340.000000	0.000152526	1340.000000	0.000152376	1340.000000	0.00015483	1340.000000	1.83316e-08	
1360.000000	0.000133777	1360.000000	0.000154586	1360.000000	0.000152212	1360.000000	0.000152061	1360.000000	0.000154568	1360.000000	1.8079e-08	
