Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
100.000000	0.00161625	100.000000	0.00153925	100.000000	0.00152701	100.000000	0.00152593	100.000000	0.00153866	100.000000	5.90858e-07	
105.000000	0.00155864	105.000000	0.00148558	105.000000	0.00147375	105.000000	0.00147272	105.000000	0.00148502	105.000000	5.65005e-07	
110.000000	0.0015059 	110.000000	0.00143653	110.000000	0.00142504	110.000000	0.00142404	110.000000	0.00143598	110.000000	5.414e-07 	
115.000000	0.00145744	115.000000	0.00139151	115.000000	0.0013803 	115.000000	0.00137934	115.000000	0.00139099	115.000000	5.1976e-07	
120.000000	0.00141272	120.000000	0.00135004	120.000000	0.00133907	120.000000	0.00133814	120.000000	0.00134954	120.000000	4.99846e-07	
125.000000	0.00137134	125.000000	0.00131172	125.000000	0.00130094	125.000000	0.00130004	125.000000	0.00131124	125.000000	4.81456e-07	
130.000000	0.00133291	130.000000	0.00127619	130.000000	0.00126558	130.000000	0.00126471	130.000000	0.00127573	130.000000	4.64421e-07	
135.000000	0.00129712	135.000000	0.00124317	135.000000	0.00123267	135.000000	0.00123185	135.000000	0.00124272	135.000000	4.48594e-07	
140.000000	0.00126371	140.000000	0.00121239	140.000000	0.00120209	140.000000	0.00120121	140.000000	0.00121196	140.000000	4.33849e-07	
145.000000	0.00123244	145.000000	0.00118363	145.000000	0.00117353	145.000000	0.00117257	145.000000	0.00118321	145.000000	4.20077e-07	
150.000000	0.00120311	150.000000	0.0011567 	150.000000	0.00114667	150.000000	0.00114574	150.000000	0.0011563 	150.000000	4.07185e-07	
155.000000	0.0011618 	155.000000	0.00113143	155.000000	0.00112145	155.000000	0.00112055	155.000000	0.00113103	155.000000	3.95089e-07	
160.000000	0.00113759	160.000000	0.00110767	160.000000	0.00109774	160.000000	0.00109686	160.000000	0.00110728	160.000000	3.83718e-07	
165.000000	0.00111476	165.000000	0.00108528	165.000000	0.0010754 	165.000000	0.00107454	165.000000	0.0010849 	165.000000	3.73006e-07	
170.000000	0.00109319	170.000000	0.00106415	170.000000	0.00105431	170.000000	0.00105347	170.000000	0.00106379	170.000000	3.62898e-07	
175.000000	0.00107279	175.000000	0.00104418	175.000000	0.00103437	175.000000	0.00103355	175.000000	0.00104382	175.000000	3.53343e-07	
180.000000	0.00105345	180.000000	0.00102527	180.000000	0.0010155 	180.000000	0.00101469	180.000000	0.00102492	180.000000	3.44297e-07	
185.000000	0.00103509	185.000000	0.00100734	185.000000	0.000997597	185.000000	0.000996807	185.000000	0.00100701	185.000000	3.35719e-07	
190.000000	0.00101765	190.000000	0.000990321	190.000000	0.000980604	190.000000	0.000979827	190.000000	0.000989993	190.000000	3.27574e-07	
195.000000	0.00100105	195.000000	0.000974139	195.000000	0.000964434	195.000000	0.000963682	195.000000	0.000973819	195.000000	3.19829e-07	
200.000000	0.000985233	200.000000	0.000958736	200.000000	0.000949047	200.000000	0.000948315	200.000000	0.000958423	200.000000	3.12455e-07	
210.000000	0.000955735	210.000000	0.000930051	210.000000	0.000920515	210.000000	0.000919697	210.000000	0.000929752	210.000000	2.98718e-07	
220.000000	0.000928775	220.000000	0.000903885	220.000000	0.00089441	220.000000	0.000893595	220.000000	0.000903599	220.000000	2.86179e-07	
230.000000	0.000904037	230.000000	0.000879922	230.000000	0.000870476	230.000000	0.000869694	230.000000	0.000879647	230.000000	2.74685e-07	
240.000000	0.000881255	240.000000	0.000857895	240.000000	0.000848491	240.000000	0.00084773	240.000000	0.000857631	240.000000	2.64111e-07	
250.000000	0.000860204	250.000000	0.00083758	250.000000	0.000828218	250.000000	0.000827479	250.000000	0.000837326	250.000000	2.54349e-07	
260.000000	0.000840695	260.000000	0.000818787	260.000000	0.000809471	260.000000	0.000808752	260.000000	0.000818541	260.000000	2.45308e-07	
270.000000	0.000822562	270.000000	0.000801352	270.000000	0.000792088	270.000000	0.000791386	270.000000	0.000801115	270.000000	2.36909e-07	
280.000000	0.000805666	280.000000	0.000785135	280.000000	0.000775925	280.000000	0.00077524	280.000000	0.000784906	280.000000	2.29086e-07	
